id,type,modified,ownerInstitutionCode,dynamicProperties,eventID,parentEventID,samplingProtocol,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,eventRemarks,locationID,country,stateProvince,municipality,locality,verbatimLocality,locationRemarks,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,footprintWKT,footprintSRS
9357A07B-359B-4BCC-AC5B-004D651A052D,Event,2018-01-31T14:51:34Z,Statskog,NA,9357A07B-359B-4BCC-AC5B-004D651A052D,NA,Distance sampling based on line transects,2767,metre,2017-08-05,17:05:00/19:00:00,Line transect,3A5C2034-50F2-4FB7-87AF-D3090D6520E7,Norway,Oppland             ,Dovre,Gåvålia,Kongsvoll,"In the original data this is known as lineID 4026, and reporting level: Kongsvoll",NA,NA,NA,"LINESTRING (9.6457832224950746 62.290720772141427, 9.646291963 62.31554236)","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"
51DFB986-5316-4270-BFDF-0199A44DF29F,Event,2018-01-31T14:51:34Z,NINA,NA,51DFB986-5316-4270-BFDF-0199A44DF29F,NA,Distance sampling based on line transects,4028,metre,2016-08-03,09:00:00/14:00:00,Line transect,2AF8BBB9-6EAA-4B03-8544-48DC502C6029,Norway,Nord-Trøndelag      ,Røyrvik,TOV-Børgefjell,TOV-Børgefjell,"In the original data this is known as lineID 3503, and reporting level: TOV-Børgefjell",NA,NA,NA,"LINESTRING (13.799227611879468 65.057502494072111, 13.81892544128768 65.092657593220764)","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"
D7A0D308-0AC9-4FF2-B71A-030EC56083CB,Event,2018-01-31T14:51:34Z,NINA,NA,D7A0D308-0AC9-4FF2-B71A-030EC56083CB,NA,Distance sampling based on line transects,3301,metre,2015-08-09,08:00:00/15:00:00,Line transect,D255F564-90C1-48D3-BCAA-16674749E4ED,Norway,Nord-Trøndelag      ,Røyrvik,TOV-Børgefjell,TOV-Børgefjell,"In the original data this is known as lineID 3507, and reporting level: TOV-Børgefjell",NA,NA,NA,"LINESTRING (13.831648405524545 65.045195631908612, 13.891723597350213 65.029948581590659)","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"
257D059F-C902-499D-B215-0312534A91AE,Event,2019-08-04T16:21:34Z,Statskog,NA,257D059F-C902-499D-B215-0312534A91AE,NA,Distance sampling based on line transects,2085,metre,2019-08-04,16:05:00/18:20:00,Line transect,2EDE5B7D-CEC6-4D78-9C10-71384A6C1EFA,Norway,Oppland             ,Dovre,Gåvålia,Kongsvoll,"In the original data this is known as lineID 4024, and reporting level: Kongsvoll",NA,NA,NA,"LINESTRING (9.62660525735741 62.296472099825245, 9.626999192 62.31554092)","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"
8A457028-FC08-4805-AD57-03F50D20A1BE,Event,2018-01-31T14:51:34Z,NINA,NA,8A457028-FC08-4805-AD57-03F50D20A1BE,NA,Distance sampling based on line transects,3301,metre,2016-08-05,09:00:00/15:00:00,Line transect,D255F564-90C1-48D3-BCAA-16674749E4ED,Norway,Nord-Trøndelag      ,Røyrvik,TOV-Børgefjell,TOV-Børgefjell,"In the original data this is known as lineID 3507, and reporting level: TOV-Børgefjell",NA,NA,NA,"LINESTRING (13.831648405524545 65.045195631908612, 13.891723597350213 65.029948581590659)","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"
8569055C-07F5-4C13-852C-055601EFC919,Event,2018-01-31T14:51:34Z,NINA,NA,8569055C-07F5-4C13-852C-055601EFC919,NA,Distance sampling based on line transects,3892,metre,2017-08-10,14:00:00/20:00:00,Line transect,4B5F0015-3536-4D00-B687-C9365FE3081A,Norway,Nord-Trøndelag      ,Røyrvik,TOV-Børgefjell,TOV-Børgefjell,"In the original data this is known as lineID 3505, and reporting level: TOV-Børgefjell",NA,NA,NA,"LINESTRING (13.809931160598447 65.055793206333078, 13.844689293064087 65.087474195963054)","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"
64B14933-DEF8-4E45-B122-082C7AFC5304,Event,2018-08-15T14:27:29Z,NINA,NA,64B14933-DEF8-4E45-B122-082C7AFC5304,NA,Distance sampling based on line transects,3688,metre,2018-08-15,13:30:00/15:31:00,Line transect,98FF5910-053E-4785-8947-7CF41942424F,Norway,Sør-Trøndelag       ,Oppdal,TOV-Åmotsdalen,TOV-Åmotsdalen,"In the original data this is known as lineID 3561, and reporting level: TOV-Åmotsdalen",NA,NA,NA,"LINESTRING (9.2714597437698547 62.516524256183374, 9.2801224963243278 62.518652416260139, 9.28594080624002 62.519771604797143, 9.3013576099104966 62.524954250963845, 9.3263113086798235 62.538191636227346)","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"
CFE7EA2D-9427-4CC2-984C-0B3656D50191,Event,2020-10-26T07:44:29Z,NINA,NA,CFE7EA2D-9427-4CC2-984C-0B3656D50191,NA,Distance sampling based on line transects,3892,metre,2020-08-23,14:00:00/18:31:00,Line transect,5B774F36-17C6-43E3-9A4E-6837F095567D,Norway,Nord-Trøndelag      ,Røyrvik,TOV-Børgefjell,TOV-Børgefjell,"In the original data this is known as lineID 3506, and reporting level: TOV-Børgefjell",NA,NA,NA,"LINESTRING (13.820554027955824 65.055877315452335, 13.855324921472384 65.0875558580271)","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"
D7643170-0E24-45BE-9ACD-0B6401CA3AEC,Event,2020-08-17T13:01:39Z,NINA,NA,D7643170-0E24-45BE-9ACD-0B6401CA3AEC,NA,Distance sampling based on line transects,1847,metre,2020-08-17,10:13:00/11:42:00,Line transect,978881BF-55BB-45E5-82F1-303E56877916,Norway,Sør-Trøndelag       ,Oppdal,TOV-Åmotsdalen,TOV-Åmotsdalen,"In the original data this is known as lineID 3528, and reporting level: TOV-Åmotsdalen",NA,NA,NA,"LINESTRING (9.3327927374859438 62.51985638817289, 9.3646086879431838 62.527729743292646)","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"
4DDA6A7C-6679-4523-A81A-0E1B1D5E4B15,Event,2018-01-31T14:51:34Z,NINA,NA,4DDA6A7C-6679-4523-A81A-0E1B1D5E4B15,NA,Distance sampling based on line transects,1021,metre,2015-08-13,09:20:00/10:05:00,Line transect,529661DD-8103-4333-847F-E7AA9860C8F8,Norway,Sør-Trøndelag       ,Oppdal,TOV-Åmotsdalen,TOV-Åmotsdalen,"In the original data this is known as lineID 3524, and reporting level: TOV-Åmotsdalen",NA,NA,NA,"LINESTRING (9.3768121766918 62.447855362290191, 9.3603384710043169 62.442791483208786)","GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137,298.257223563]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]]"
